CA,Total Hits in Event,Maximum number of Hits in a Sensor
3.7027399999999995,1003,29
3.80989,1003,29
3.7398670000000003,1003,29
3.715172000000001,1003,29
3.7740609999999997,1003,29
141.284535,3777,97
156.301516,3777,97
142.463643,3777,97
141.09424499999994,3777,97
141.42060100000003,3777,97
80.25832200000002,3075,83
79.03491699999995,3075,83
78.87919299999999,3075,83
78.79438099999993,3075,83
78.77510299999994,3075,83
46.05760600000008,2634,73
45.80273800000009,2634,73
45.87423200000012,2634,73
45.92019600000003,2634,73
45.828093999999965,2634,73
35.779252999999926,2368,58
35.90050700000006,2368,58
36.622642999999925,2368,58
36.377238000000034,2368,58
36.04029700000001,2368,58
241.6342400000001,4352,119
243.06404199999997,4352,119
243.52199100000007,4352,119
248.4640870000003,4352,119
242.93672300000026,4352,119
94.75797899999998,3366,84
94.28856200000018,3366,84
94.66545799999994,3366,84
94.84221500000012,3366,84
94.03034000000025,3366,84
2.1704170000002705,775,32
2.1404200000001765,775,32
2.149134000000231,775,32
2.1657390000000305,775,32
2.1667139999999563,775,32
6.853441000000203,1264,35
6.897056000000248,1264,35
6.828799000000345,1264,35
6.821085999999923,1264,35
6.889885000000049,1264,35
145.28084499999977,3902,94
144.18351699999994,3902,94
146.36492299999964,3902,94
144.88830299999972,3902,94
145.54537200000004,3902,94
220.03229499999998,4214,113
220.176958,4214,113
220.21807699999954,4214,113
219.7617369999998,4214,113
219.85198799999944,4214,113
39.14335399999982,2263,69
39.26514900000075,2263,69
38.94848600000023,2263,69
38.92316100000062,2263,69
38.94860400000016,2263,69
17.652180999999473,1871,50
17.697833999999602,1871,50
17.84782600000017,1871,50
17.766297000000122,1871,50
17.591370999999526,1871,50
3.632086000000527,988,33
3.6835420000006707,988,33
3.6666260000001785,988,33
3.8387860000002547,988,33
3.6976269999995566,988,33
46.98980000000029,2478,68
47.00441000000046,2478,68
47.20051600000079,2478,68
47.25336900000002,2478,68
47.35922399999981,2478,68
109.10765699999956,3538,85
108.72795700000006,3538,85
108.9828580000003,3538,85
109.10870899999918,3538,85
109.62248100000033,3538,85
30.07362600000033,2181,57
30.055726999999933,2181,57
29.84324800000013,2181,57
30.119768999999906,2181,57
30.158431000000746,2181,57
36.69979499999954,2409,64
36.90856399999939,2409,64
36.74742900000001,2409,64
36.88154099999974,2409,64
36.85914700000012,2409,64
141.57776099999955,3870,99
141.8720059999996,3870,99
141.37492199999997,3870,99
140.9734900000003,3870,99
142.50360999999975,3870,99
115.26200299999982,3559,86
114.05001900000025,3559,86
114.33496599999944,3559,86
114.2734019999998,3559,86
115.01148600000033,3559,86
5.952393999999913,1079,33
5.96071800000027,1079,33
5.98462599999948,1079,33
6.029406000000563,1079,33
5.982630999999856,1079,33
13.445985000000292,1684,46
13.423999999999978,1684,46
13.37814199999957,1684,46
13.449171999999635,1684,46
13.448593000000074,1684,46
12.35070099999939,1647,48
12.28256599999986,1647,48
12.314116999999897,1647,48
12.30311299999994,1647,48
12.264682999999422,1647,48
28.712314000000333,2095,63
28.649583999999777,2095,63
29.08433799999966,2095,63
28.811579000000165,2095,63
28.858162000000448,2095,63
94.07878099999925,3349,87
94.31419299999834,3349,87
93.98830400000043,3349,87
94.6741490000004,3349,87
94.97372400000131,3349,87
31.29858400000012,2286,58
31.18767999999909,2286,58
30.748099999998885,2286,58
30.896638000000166,2286,58
31.00975599999947,2286,58
2.7222149999997782,852,28
2.7126919999991514,852,28
2.7146800000009534,852,28
2.707112000000052,852,28
2.727324999999837,852,28
40.02289000000019,2372,65
40.30946699999913,2372,65
39.892243000000235,2372,65
40.14662200000021,2372,65
40.31812600000012,2372,65
36.84266300000127,2218,72
37.049275999999736,2218,72
36.908503000000564,2218,72
36.96490999999878,2218,72
36.891664000000674,2218,72
5.724298999999519,1194,34
5.778030999999828,1194,34
5.7890299999999115,1194,34
5.80106700000033,1194,34
5.736152999999831,1194,34
